XLS_TABLE;1.5;
Type_of_product:;cosmo_determinist;
Experiment:;105;
Reference_time:;2019-01-01;0:00;+0:00;
Start_time:;2019-01-01;1:00;+0:00;
End_time:;2019-01-01;1:00;+0:00;
Missing_value_code:;-999.00;
Width_of_text_label_column:;-1;
Number_of_integer_label_columns:;4;
Number_of_real_label_columns:;0;
Number_of_data_columns:;40;
Number_of_data_rows:;27;
Indicator:;AXA;BIV;BRS;CAS;CEV;CHD;COV;DIS;DOL;ETZ;EVO;FBG;FLP;FRF;GOD;GRH;GSB;GUE;GVE;KSL;LAN;LEI;MNT;MRT;MTG;MTP;MUG;NOV;OLI;RAV;ROW;SAE;SHA;SKN;SMA;SPS;STC;SWL;TOR;YVN;
Location_name:;Bivio;Cevio;Chateau-d'Oex;Piz_Corvatsch;Disentis_-_Sedrun;La_Dole;Evolene_-_Villa;Grimsel_Hospiz;Col_du_Grand_St-Bernard;Guetsch_ob_Andermatt;Geneve-Cointrin;Leibstadt;Saentis;Schaffhausen;Zuerich_-_Fluntern;St._Chrischona;Yverdon-les-Bains;
Location_longitude:;8.054;9.669;8.650;9.665;8.603;7.140;9.821;8.854;6.100;7.648;7.509;7.331;9.982;8.910;8.552;8.333;7.171;8.615;6.128;8.178;9.563;8.188;7.019;9.823;8.917;6.819;9.193;8.970;8.954;7.054;8.041;9.344;8.620;8.160;8.566;9.315;7.687;7.715;7.648;6.651;
Location_latitude:;46.707;46.463;46.523;46.391;46.320;46.480;46.418;46.707;46.425;47.182;46.112;47.023;46.744;47.549;47.048;46.572;45.869;46.652;46.248;46.817;46.963;47.597;47.368;46.432;45.982;46.497;47.115;45.841;46.518;46.106;46.303;47.249;47.690;47.167;47.378;46.530;47.572;46.713;46.369;46.782;
Location_height:;2240.000;1856.000;1386.000;1475.000;417.000;1029.000;3302.000;1197.000;1669.000;524.000;1825.000;708.000;2177.000;475.000;510.000;1980.000;2472.000;2283.000;412.000;718.000;526.000;341.000;911.000;2694.000;472.000;1075.000;424.000;410.000;1180.000;1130.000;1835.000;2502.000;438.000;693.000;555.000;2135.000;493.000;726.000;2311.000;433.000;
Grid_longitude:;8.060;9.652;8.648;9.667;8.610;7.153;9.812;8.848;6.096;7.645;7.519;7.315;9.985;8.904;8.532;8.327;7.156;8.630;6.137;8.173;9.575;8.206;7.017;9.840;8.921;6.818;9.177;8.967;8.954;7.043;8.060;9.352;8.619;8.161;8.568;9.317;7.702;7.710;7.652;6.655;
Grid_latitude:;46.704;46.469;46.522;46.380;46.331;46.474;46.410;46.694;46.423;47.186;46.103;47.019;46.740;47.545;47.051;46.578;45.874;46.662;46.254;46.825;46.959;47.596;47.372;46.440;45.975;46.496;47.117;45.835;46.515;46.101;46.303;47.248;47.682;47.175;47.371;46.518;47.577;46.717;46.366;46.781;
Grid_i:;548;657;588;658;585;485;668;602;412;521;509;498;680;607;581;566;483;587;414;556;652;560;479;670;606;462;625;609;609;476;547;637;588;556;584;634;526;524;519;452;
Grid_j:;413;388;394;379;375;392;382;411;390;462;354;446;415;496;447;400;332;408;373;425;437;502;482;385;339;395;453;325;393;355;373;466;510;460;479;393;501;415;380;424;
Grid_height:;2247.1;1967.6;1361.0;1647.2;742.5;1025.1;3063.0;1184.8;1479.6;497.6;1862.7;690.1;2249.6;474.3;499.6;2037.3;2489.2;2320.0;412.2;676.8;525.5;346.6;788.0;2659.7;429.8;903.8;474.5;414.2;1255.6;1194.8;1805.8;2099.6;443.3;698.7;547.5;2186.1;494.5;726.3;2294.3;435.8;
PARAMETER;LTYPE;LEVEL;DATE_TIME;LEAD_TIME;AXA;BIV;BRS;CAS;CEV;CHD;COV;DIS;DOL;ETZ;EVO;FBG;FLP;FRF;GOD;GRH;GSB;GUE;GVE;KSL;LAN;LEI;MNT;MRT;MTG;MTP;MUG;NOV;OLI;RAV;ROW;SAE;SHA;SKN;SMA;SPS;STC;SWL;TOR;YVN;
ALB_RAD;1;-1;2019-01-01 01:00;00:00;52.437;69.738;30.708;39.042;8.8477;11.901;69.544;33.895;10.023;12.751;50.132;10.787;69.559;11.657;10.924;69.552;63.425;69.577;9.7754;13.338;11.693;10.922;10.725;69.567;7.6709;7.4980;7.5449;11.580;25.932;8.4287;34.307;65.502;10.466;13.198;9.2939;69.503;11.678;10.274;69.521;11.862;
ASOB_S;1;-1;2019-01-01 01:00;01:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
ASWDIFD_S;1;-1;2019-01-01 01:00;01:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
ASWDIFU_S;1;-1;2019-01-01 01:00;01:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
ASWDIR_S;1;-1;2019-01-01 01:00;01:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
ATHB_S;1;-1;2019-01-01 01:00;01:00;-78.183;-88.445;-63.179;-90.656;-77.374;-87.659;-101.87;-63.226;-107.61;-2.5618;-69.050;-38.663;-84.562;0.45772;-0.33525;-92.327;-97.488;-95.460;-4.0462;-9.2259;-82.003;-28.816;-1.7454;-92.738;-89.874;-91.300;-73.999;-77.097;-56.769;-86.136;-75.433;-89.863;-26.753;-15.671;-30.109;-92.820;-9.4134;-81.238;-86.042;-13.054;
CLCH;1;-1;2019-01-01 01:00;00:00;6.6777;0.0000;0.19727;0.0000;1.0430;44.754;0.0000;0.0000;37.035;0.50586;69.791;5.9082;0.0000;0.78125E-01;0.0000;1.7539;47.566;0.0000;46.379;0.0000;0.0000;39.193;15.945;0.0000;39.230;38.111;2.6855;73.096;0.0000;86.668;32.412;1.5938;3.8340;1.9648;0.35156;0.0000;6.9395;10.305;53.189;22.904;
CLCM;1;-1;2019-01-01 01:00;00:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
CLCL;1;-1;2019-01-01 01:00;00:00;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;100.00;0.0000;100.00;0.0000;100.00;100.00;0.0000;0.0000;0.0000;100.00;100.00;0.78125E-02;98.918;100.00;0.0000;0.0000;0.0000;0.19336;0.0000;0.0000;0.0000;0.0000;0.0000;100.00;100.00;100.00;0.0000;100.00;2.2441;0.0000;100.00;
CLCT;1;-1;2019-01-01 01:00;00:00;6.6777;0.0000;0.19727;0.0000;1.0430;44.754;0.0000;0.0000;37.035;100.00;69.791;100.00;0.0000;100.00;100.00;1.7539;47.566;0.0000;100.00;100.00;0.78125E-02;99.342;100.00;0.0000;39.230;38.111;2.8730;73.096;0.0000;86.668;32.412;1.5938;100.00;100.00;100.00;0.0000;100.00;12.318;53.189;100.00;
